Time,Condition,Injection,Section,FileName,OE Area (um^2),OE Area (mm^2),LP Area (um^2),LP Area (mm^2),S100A9 Count,S100A9 Density,S100A9 in LP,S100A9 LP Density,CD3 Count,CD3 Density,CD3 In LP,CD3 LP Density
5d,LPS,T,M,20260311_LPS_5d_gS100A9_rCD3_frNQO1_20x_M_N.nd2,54658,0.054658,,0,0,0,4,73.1823337846244,0,0,3,54.8867503384683
5d,LPS,T,X,20260311_LPS_5d_gS100A9_rCD3_frNQO1_20x_M_X.nd2,77331,0.077331,,0,0,0,30,387.942739651627,4,51.725698620217,37,478.462712237007
5d,LPS,T,B,20260311_LPS_5d_gS100A9_rCD3_frNQO1_20x_TS_B.nd2,117179,0.117179,,0,4,34.1358093173692,23,196.280903574873,35,298.68833152698,82,699.784091006068
5d,LPS,T,N,20260311_LPS_5d_gS100A9_rCD3_frNQO1_20x_TS_N.nd2,98526,0.098526,,0,2,20.299210360717,18,182.692893246453,0,0,13,131.94486734466
5d,LPS,T,T,20260311_LPS_5d_gS100A9_rCD3_frNQO1_20x_TS_T.nd2,115929,0.115929,,0,0,0,11,94.8856627763545,4,34.5038773732198,21,181.145356209404
6h,LPS,C,B,20260311_LPS_6h_gS100A9_rCD3_frNQO1_20x_CS_B.nd2,146459,0.146459,,0,2,13.6556988645286,18,122.901289780758,0,0,16,109.245590916229
6h,LPS,C,N,20260311_LPS_6h_gS100A9_rCD3_frNQO1_20x_CS_N.nd2,30848,0.030848,,0,0,0,0,0,0,0,0,0
6h,LPS,C,T,20260311_LPS_6h_gS100A9_rCD3_frNQO1_20x_CS_T.nd2,203287,0.203287,,0,4,19.6766148351838,10,49.1915370879594,5,24.5957685439797,10,49.1915370879594
6h,LPS,C,M,20260311_LPS_6h_gS100A9_rCD3_frNQO1_20x_M_N.nd2,39036,0.039036,,0,0,0,1,25.6173788297981,0,0,0,0
6h,LPS,C,X,20260311_LPS_6h_gS100A9_rCD3_frNQO1_20x_M_X.nd2,41760,0.04176,,0,3,71.8390804597701,0,0,0,0,1,23.9463601532567
6h,LPS,T,M,20260311_LPS_6h_gS100A9_rCD3_frNQO1_20x_M_N.nd2,52028,0.052028,,0,0,0,3,57.6612593219036,0,0,2,38.4408395479357
6h,LPS,T,X,20260311_LPS_6h_gS100A9_rCD3_frNQO1_20x_M_X.nd2,75334,0.075334,,0,59,783.178909921151,53,703.533597047814,3,39.8226564366687,12,159.290625746675
6h,LPS,T,B,20260311_LPS_6h_gS100A9_rCD3_frNQO1_20x_TS_B.nd2,112557,0.112557,,0,60,533.06324795437,35,310.953561306716,2,17.7687749318123,36,319.837948772622
6h,LPS,T,N,20260311_LPS_6h_gS100A9_rCD3_frNQO1_20x_TS_N.nd2,30163,0.030163,,0,4,132.612803766204,0,0,0,0,0,0
6h,LPS,T,T,20260311_LPS_6h_gS100A9_rCD3_frNQO1_20x_TS_T.nd2,187042,0.187042,,0,198,1058.58577217951,108,577.410421188824,5,26.731963943927,55,294.051603383197
6h,Saline,C,B,20260311_Saline_6h_gS100A9_rCD3_frNQO1_20x_CS_B.nd2,1,0.000001,87120,0.08712,0,0,7,80.3489439853076,0,0,10,114.784205693297
6h,Saline,C,N,20260311_Saline_6h_gS100A9_rCD3_frNQO1_20x_CS_N.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0,0
6h,Saline,C,T,20260311_Saline_6h_gS100A9_rCD3_frNQO1_20x_CS_T.nd2,13992,0.013992,82831,0.082831,2,142.938822184105,9,108.654972172254,0,0,3,36.2183240574181
6h,Saline,C,M,20260311_Saline_6h_gS100A9_rCD3_frNQO1_20x_M_N.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0,0
6h,Saline,C,X,20260311_Saline_6h_gS100A9_rCD3_frNQO1_20x_M_X.nd2,37871,0.037871,17022,0.017022,0,0,5,293.737516155563   ,0,0,2,117.495006462225
6h,Saline,T,M,20260311_Saline_6h_gS100A9_rCD3_frNQO1_20x_M_N.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0,0
6h,Saline,T,X,20260311_Saline_6h_gS100A9_rCD3_frNQO1_20x_M_X.nd2,26750,0.02675,18038,0.018038,3,112.14953271028,6,332.631112096685,0,0,2,110.877037365562
6h,Saline,T,B,20260311_Saline_6h_gS100A9_rCD3_frNQO1_20x_TS_B.nd2,64300,0.0643,28914,0.028914,0,0,15,518.779829840216,0,0,3,103.755965968043
6h,Saline,T,N,20260311_Saline_6h_gS100A9_rCD3_frNQO1_20x_TS_N.nd2,1,0.000001,1,0.000001,0,0,0,0,0,0,0,0
6h,Saline,T,T,20260311_Saline_6h_gS100A9_rCD3_frNQO1_20x_TS_T.nd2,1,0.000001,84171,0.084171,0,0,9,106.925188010122,0,0,0,0
